Devices
1200
,,Imported Kistler Force Plate 1.1.0.0 #2 - Force,,,Imported Kistler Force Plate 1.1.0.0 #2 - Moment,,,Imported Kistler Force Plate 1.1.0.0 #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
7,7,-0.319323,3.69097,-713.849,8451.77,24639.1,-52.5773,774.516,278.16,0
7,8,-0.308028,3.69015,-713.859,8450.62,24651.2,-53.0214,774.532,278.162,0
7,9,-0.296589,3.68931,-713.869,8449.42,24663.3,-53.3968,774.549,278.164,0
8,0,-0.284963,3.68845,-713.879,8448.18,24675.5,-53.6981,774.565,278.166,0
8,1,-0.273109,3.68757,-713.889,8446.91,24687.7,-53.9202,774.582,278.168,0
8,2,-0.260992,3.68666,-713.899,8445.63,24700,-54.0575,774.599,278.17,0
8,3,-0.248584,3.68571,-713.909,8444.35,24712.3,-54.1053,774.616,278.172,0
8,4,-0.235864,3.68472,-713.919,8443.08,24724.8,-54.0597,774.632,278.174,0
8,5,-0.22282,3.6837,-713.929,8441.86,24737.3,-53.918,774.65,278.176,0
8,6,-0.209446,3.68265,-713.939,8440.7,24750,-53.6784,774.667,278.177,0
8,7,-0.195743,3.68157,-713.948,8439.64,24762.8,-53.3394,774.684,278.179,0
8,8,-0.181712,3.68046,-713.958,8438.7,24775.8,-52.9016,774.702,278.18,0
8,9,-0.167362,3.67933,-713.968,8437.92,24788.9,-52.3672,774.72,278.182,0
9,0,-0.152704,3.67816,-713.978,8437.29,24802.2,-51.74,774.738,278.183,0
9,1,-0.137755,3.67697,-713.988,8436.85,24815.7,-51.0248,774.756,278.184,0
9,2,-0.122534,3.67576,-713.999,8436.61,24829.3,-50.2276,774.775,278.184,0
9,3,-0.107058,3.67453,-714.01,8436.58,24843.1,-49.3557,774.794,278.184,0
9,4,-0.091338,3.67328,-714.022,8436.78,24857.1,-48.4169,774.813,278.184,0
9,5,-0.0753794,3.67202,-714.035,8437.19,24871.3,-47.4192,774.832,278.184,0
9,6,-0.0591879,3.67073,-714.049,8437.82,24885.6,-46.3714,774.851,278.183,0
9,7,-0.0427691,3.66942,-714.064,8438.65,24900.1,-45.2833,774.871,278.182,0
9,8,-0.0261243,3.66808,-714.079,8439.67,24914.8,-44.1648,774.891,278.181,0
9,9,-0.00924682,3.66669,-714.095,8440.85,24929.8,-43.0256,774.911,278.18,0
